2023-05-30 16:57:02.506[1685444222506] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:57:03.011[1685444223011] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.812 seconds (process running for 1.528)
2023-05-30 16:57:03.443[1685444223443] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:57:10.470[1685444230470] | INFO  | Thread-6   | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo
2023-05-30 16:58:52.537[1685444332537] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 144 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 16:58:52.539[1685444332539] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 16:58:53.059[1685444333059] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.835 seconds (process running for 1.643)
2023-05-30 16:58:53.502[1685444333502] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 16:58:57.899[1685444337899] | INFO  | Thread-6   | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo
2023-05-30 17:00:16.040[1685444416040] | INFO  | main       | com.app.StartApp                     - Starting StartApp using Java 18.0.2 with PID 1284 (G:\project\Idea\DeveloptProjects\Terminal_For_Position\Application\target\classes started by AdminPC in G:\project\Idea\DeveloptProjects\Terminal_For_Position)
2023-05-30 17:00:16.042[1685444416042] | INFO  | main       | com.app.StartApp                     - No active profile set, falling back to 1 default profile: "default"
2023-05-30 17:00:16.541[1685444416541] | INFO  | main       | com.app.StartApp                     - Started StartApp in 0.822 seconds (process running for 1.67)
2023-05-30 17:00:16.978[1685444416978] | INFO  | JavaFX Application Thread | com.app.userSettings.AppSettings     - Файл userSettings.txt найден, настройки загружены.
2023-05-30 17:00:20.993[1685444420993] | INFO  | Thread-6   | c.b.c.f.client.utils.RequestHandler  - GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo
2023-05-30 17:00:46.779[1685444446779] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:55.851[1685444455851] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:56.266[1685444456266] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:56.465[1685444456465] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.971[1685444457971] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.971[1685444457971] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.971[1685444457971] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.971[1685444457971] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.972[1685444457972] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.972[1685444457972] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.972[1685444457972] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.972[1685444457972] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.973[1685444457973] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.974[1685444457974] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.974[1685444457974] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.974[1685444457974] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.975[1685444457975] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.975[1685444457975] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.975[1685444457975] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.975[1685444457975] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.975[1685444457975] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.976[1685444457976] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.976[1685444457976] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.976[1685444457976] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.976[1685444457976] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.977[1685444457977] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.977[1685444457977] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.977[1685444457977] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.977[1685444457977] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.978[1685444457978] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.978[1685444457978] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.978[1685444457978] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.978[1685444457978] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.978[1685444457978] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.979[1685444457979] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.979[1685444457979] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.979[1685444457979] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.979[1685444457979] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.980[1685444457980] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.980[1685444457980] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
